# This is a file containing data from 2 Cherenkov Telescopes
# The number specifies the telescope
#
# Description of the features
# Length: Length of Hillas ellipse
# Width: Width of Hillas ellipse
# Size: Sum of all charges
# Hadronness: Indicating particle type
#
Length1 Width1 Size1 Length2 Width2 Size2 Energy Hadronness
75.4124 29.4279 1672.8 59.6897 26.7615 2118.77 891.741 0.00916667
57.7336 20.8956 760.578 56.0803 31.6496 1160.58 618.704 0.163583
18.7674 18.0485 56.1875 17.5254 11.8229 56.8125 78.3127 0.245667
62.7512 27.3413 1555.16 60.9768 32.2978 1519.82 699.244 0.0554978
50.9237 22.7845 622.352 67.5829 28.0278 2022.25 2046.44 0.00583333
55.0872 26.0323 1554.05 78.1673 34.5042 7360 6758.78 0
63.5209 25.0671 808.055 50.8012 23.7339 502.906 1851.45 0.0392857
73.2049 33.0173 12674.7 51.4093 32.8175 3265.68 27952.1 0.0163333
83.9538 29.1 3379.82 66.9842 29.0803 1957.11 5800.27 0
85.886 31.2477 10361.3 63.8771 31.4983 1891.22 7402.94 0.00166667
14.3905 11.1324 32.0703 55.9085 13.6481 68.7344 427.09 0.946246
40.7194 14.8057 188.172 34.9396 22.183 169.562 113.837 0.0180909
65.859 31.8889 1339.47 71.1719 27.0684 862.992 947.008 0.373571
11.9245 11.4037 36.625 25.5917 21.9873 65.0938 38.4349 0.384298
73.9113 47.4503 30939.3 80.6979 68.4395 47242.8 17805.9 0.106333
58.6865 35.2033 855.262 64.5047 45.2628 802.461 613.01 0.937333
39.6412 16.7535 298.125 40.5173 18.663 485.367 222.19 0.0186071
48.8786 26.2712 1579.24 66.1945 34.2769 8523.12 2210.72 0.0183333
82.0151 25.1746 1939.89 56.7749 23.6295 283.375 718.789 0.0472222
62.0239 25.0857 1075.08 59.8207 28.4741 1163.45 274.52 0.0872619
23.3594 13.7574 37.1562 37.9319 22.1391 335.852 111.838 0.224726
40.2787 17.8271 119.938 21.455 15.516 71.6484 75.7195 0.116889
39.0439 21.6559 418.984 40.6295 23.5644 472.461 275.287 0.0673333
58.1238 20.143 375.18 56.7261 25.986 391.953 204.217 0.17225
57.833 23.248 2041.25 56.6345 28.5367 836.93 916.532 0.044
91.1546 22.9889 2115.77 91.5943 27.8442 2195.51 869.495 0.151798
35.2344 14.8063 85.0078 55.4806 20.4519 175.516 500.48 0.0696111
61.0265 20.7001 203.797 68.8664 20.4314 244.152 282.02 0.0692778
62.0628 21.3934 215.812 74.0352 23.0983 878.328 682.095 0.0219167
33.4058 10.9139 68.8594 36.272 16.0486 87.8438 112.428 0.293894
87.987 20.7509 271.148 81.0581 22.9488 1173.55 327.088 0.0363571
76.0671 25.8454 2073.44 94.3601 42.6911 5474.05 886.069 0.134667
99.3366 20.5751 243.008 21.809 14.9326 45.2656 578.789 0.492183
72.1596 43.9906 3226.74 76.4821 36.7785 3155.79 1010.74 0.0498333
43.0882 25.6699 2593 33.7772 22.8617 605.305 13090.5 0.0770833
30.8364 16.3219 138.906 45.691 21.7004 243.188 135.052 0.105215
45.9473 22.8549 245.07 59.0852 25.1977 741.512 562.521 0.0430794
31.4077 18.833 138.562 45.215 19.7133 162.695 83.0268 0.127016
78.7386 27.6425 2899.44 66.212 26.786 747.469 1309.92 0.109992
72.1317 23.1313 1153.81 84.6569 33.4424 1865.77 1816.6 0.0874286
48.7419 17.136 177.484 28.3562 17.4171 93.0781 139.769 0.0677381
24.9611 17.6206 115.586 28.3824 17.2515 88.5312 75.6689 0.106813
35.9323 16.4058 90.1875 25.029 12.0625 84.1875 68.5439 0.188274
83.7862 22.9842 466.672 92.3476 27.4074 797.844 1937.82 0.189373
36.9534 14.6445 159.609 39.1564 15.0763 140.938 119.194 0.114044
43.5588 19.6763 126.781 47.6872 16.0402 110.859 625.8 0.297012
41.4621 21.2178 458.938 35.4738 20.4302 238.133 238.079 0.0443333
27.4876 15.7369 143.453 29.1016 16.9808 86.1094 157.92 0.0448333
85.5505 28.1422 1670.52 61.2855 25.0335 382.445 2839.76 0.133982
88.1877 35.8513 13411.3 105.204 34.8497 11129.5 3587.08 0.0383333
